entry_id,source,page_ref,chinese,pinyin,kimmun,vietnamese,meaning_en,category,notes,CORRECTED_PAGE
CL-001,Clark (2000),p.1,,,θɐw³³ (Laos) | ɡuŋ³¹ (Vietnam),Con kiến,ant (Clark 2008),General,,
CL-002,Clark (2000),p.1,,,klɐ.buj⁵² (Laos) | mə.nɔj³⁵ (Vietnam),Con dơi,bat (Clark 2008),General,,
CL-004,Clark (2000),p.1,,,mɐj³⁴¹muŋ⁴⁴,Con ong,bee (Clark 2008),General,,
CL-005,Clark (2000),p.1,,,nɔ³³,Con chim,bird (Clark 2008),General,,
CL-006,Clark (2000),p.1,,,ŋɔŋ¹¹,Con trâu,buffalo (Clark 2008),General,,
CL-007,Clark (2000),p.1,,,maːw¹¹,Con mèo,cat (Clark 2008),General,,
CL-008,Clark (2000),p.1,,,buŋ³³blɐw³⁴¹,Sâu bướm,caterpillar (Clark 2008),General,,
CL-009,Clark (2000),p.1,,,θap⁵²,Con rết,centipede (Clark 2008),General,,
CL-010,Clark (2000),p.1,,,cock,Con gà,chicken (Clark 2008),General,,
CL-011,Clark (2000),p.1,,,hen,Con gà,chicken (Clark 2008),General,,
CL-012,Clark (2000),p.1,,,ȶɐj²¹⁴,Con gà,chicken (Clark 2008),General,,
CL-014,Clark (2000),p.1,,,kjɐm³⁵ȵaj²¹⁴,Con cua,crab (Clark 2008),General,,
CL-015,Clark (2000),p.1,,,kjɛŋ²¹⁴kjo³¹,Con dế,cricket (Clark 2008),General,,
CL-013,Clark (2000),p.1,,,buŋ²¹,Mưa,rain (Clark 2008),General,,
CL-016,Clark (2000),p.1,,,ku.aː³¹,Con quạ,crow (Clark 2008),General,,
CL-019,Clark (2000),p.1,,,klu⁴⁴,Con chó,dog (Clark 2008),General,,
CL-017,Clark (2000),p.1,,,ȡaːw¹³,Gió,wind (Clark 2008),General,,
CL-020,Clark (2000),p.1,,,kuŋ²¹⁴,Con rồng,dragon (Clark 2008),General,,
CL-018,Clark (2000),p.1,,,ȡaw¹³kja⁵³,Bão,storm (Clark 2008),General,,
CL-021,Clark (2000),p.1,,,fly,Con rồng,dragon (Clark 2008),General,,
CL-024,Clark (2000),p.1,,,klaːŋ⁴⁴,Đại bàng,eagle (Clark 2008),General,,
CL-022,Clark (2000),p.1,,,si³⁵,Thời tiết,weather (Clark 2008),General,,
CL-025,Clark (2000),p.1,,,bjaw³⁴¹,Con cá,fish (Clark 2008),General,,
CL-026,Clark (2000),p.1,,,klɐ.muŋ⁵²,Con bọ chét,flea (Clark 2008),General,,
